Date,Total
17/06/2022,51769616296.39018
18/06/2022,52499877455.95431
19/06/2022,49731233179.598366
20/06/2022,51617776697.41148
21/06/2022,52307539214.16206
22/06/2022,52404013926.02219
23/06/2022,52077788609.03355
24/06/2022,53694749450.6326
25/06/2022,54903174670.53619
26/06/2022,55083211309.52255
27/06/2022,54234801741.038185
28/06/2022,53765874768.89251
29/06/2022,52658681958.73075
30/06/2022,51942705805.38305
01/07/2022,51474050280.32601
02/07/2022,51412799048.60422
03/07/2022,52490156403.208496
04/07/2022,52769739816.972725
05/07/2022,54223614279.22215
06/07/2022,54432335828.433945
07/07/2022,55269196440.91625
08/07/2022,55854744874.98723
09/07/2022,55686513314.71796
10/07/2022,55812054279.14572
11/07/2022,54628899841.54115
12/07/2022,52995778441.38308
13/07/2022,51824035387.65788
14/07/2022,52974639760.78165
15/07/2022,54158817833.41448
16/07/2022,54677264085.92484
17/07/2022,56006497780.98457
18/07/2022,55837869231.14538
19/07/2022,59209455068.21155
20/07/2022,59399072494.47293
21/07/2022,58700307342.077065
22/07/2022,59499346796.6811
23/07/2022,59413951175.34542
24/07/2022,59464603026.74642
25/07/2022,60064903016.11522
26/07/2022,57368902949.3659
27/07/2022,57371382011.92412
28/07/2022,60257754150.372025
29/07/2022,61977270649.61371
30/07/2022,61514103408.75729
31/07/2022,61512673081.14308
01/08/2022,61199916176.44922
02/08/2022,60583610726.6139
03/08/2022,59652121484.58982
04/08/2022,60355048262.24612
05/08/2022,61137632689.03303
06/08/2022,62224937492.99616
07/08/2022,61661918663.85832
08/08/2022,62782182982.90774
09/08/2022,63047248601.24195
10/08/2022,61296691705.8773
11/08/2022,64087231042.87197
12/08/2022,63892474695.97925
13/08/2022,63954988338.96578
14/08/2022,64104844396.7985
15/08/2022,63421147912.61071
16/08/2022,62520662549.07326
17/08/2022,63090465830.12952
18/08/2022,61943001295.90168
19/08/2022,61143749421.12902
20/08/2022,58059986489.14233
21/08/2022,57705094757.945335
22/08/2022,58573038915.05833
23/08/2022,58582932274.76041
24/08/2022,58785142540.017136
25/08/2022,58960060318.82873
26/08/2022,59051603211.4474
27/08/2022,56541647978.03886
28/08/2022,56203446784.93317
29/08/2022,55165564321.29052
30/08/2022,56809049447.055565
31/08/2022,56623887072.4397
01/09/2022,56284846437.812935
02/09/2022,56855830448.41153
03/09/2022,56611375195.94319
04/09/2022,56490772346.165146
05/09/2022,56457313211.92768
06/09/2022,57151438739.79241
07/09/2022,54665342800.78235
08/09/2022,55673018327.17485
09/09/2022,55714646623.564606
10/09/2022,57135666669.578575
11/09/2022,57854083907.08555
12/09/2022,57222021079.543686
13/09/2022,56538001332.04511
14/09/2022,53681981467.70645
15/09/2022,52677772612.61495
